[[-1.3864664373575184, -2.313698080302318, 4.092187831924812, -2.6248976352395395, 0.8399646644305065, -1.805356860344947, -0.21036695275147788, -0.316220051883721, -0.023726913081919543, -4.330865489400969, -0.27272671476768173, -3.4280845415542327, 0.11259270349049133, 2.1290319882284394, 0.5313056926991857, -1.0480924456860552, 4.648219695907107, 0.26393162763085076, 3.564689005627972, 1.505783978900948, -0.7207239774626191, 0.20254517709590525, 2.7306025726934893, -1.0159786643769602, -3.214500931751535, -1.272027406348489, 2.7346708135628286, -1.0861454755115854, -1.8457685419861591, 2.8597359883834725, -1.9176331040427312, -0.5194473690153997],
[0.835120136214184, 0.44729567306878615, -0.4170921102002575, 2.103849062161911, 2.253795518345999, 0.019370057558047438, -1.2562904916194348, -1.8165989721957438, -1.1544820499275157, 1.2355141312586875, -1.3005152772883608, 1.991364324512568, -2.3138420395875863, 1.4811333714755308, -5.000085235675543, -1.1732370856466572, -4.038809514040394, 2.150615403585958, 3.014510299774597, -3.4509006491021763, 1.0809938461059638, -1.6158578786334632, 2.41391180949112, 1.0486166106917754, -0.9174654876006213, 2.5986805776322295, -2.9197605701539757, 2.1917641994203594, 4.064062474424906, -3.4488764013085516, -2.0787361170053225, 0.7627963647588959],
[-0.11994728052475803, -0.6780149978979707, 0.597227475083673, 0.3736435751408066, -0.5905774090479474, 0.0752807150188004, 0.6913848689994496, 0.721249046405874, -2.157664985453628, -0.8932442749374045, 0.08900890163962633, -0.5739292593567612, -0.8048615239161084, -1.1548796552680234, -1.8862364498709363, -0.6321827579088002, -0.47326759395471824, 1.1796046218354648, -1.1732708980420565, -1.4845576341442936, -1.8229028018006437, -0.44839798566941125, 1.0907962066494064, 1.5902796585910028, 0.06030050500862394, 0.944512424012132, -0.6346924853007111, 1.1400077011280263, 0.8387489437748925, 0.4744602363007793, -1.2457634785114298, 1.3961376404762935],
[1.0063423616921474, -0.08989874258881389, -0.7908049382729953, 0.4893968322160509, -1.2541180623580672, -1.4016547326655502, -1.8885287092618224, 1.3969778174776661, -0.9253022427308725, 1.6428990201744582, -0.5813776363284914, -1.4416902226887045, -2.2884296688133308, 0.36914112102897645, -3.0352556950896132, -0.3415316101849558, -1.402683676150208, 0.5023767591755292, -1.1967131434078795, 2.138147152522652, -1.1618361980823937, 0.6573408372313212, -0.5412718713208226, 1.2163303634923808, -0.19168882080732047, -1.971949362284924, 1.5710454586450346, 1.0815906764128902, 1.2583427911815768, 0.0021484395494257846, 1.6149631481535995, 2.088028546573969],
[-2.8942312114264035, -3.198594302947413, -3.1416280653787005, -4.973740935953237, 1.335853660170081, 6.165428967782743, 3.3177739598951628, 3.299458526721232, 1.6981371167184367, 1.2875399893501294, -4.477112283548305, 3.1778896220486152, 2.352424052208619, 2.7906498019185593, 1.1035710181621128, 4.468783583607599, 3.0026895874436637, -2.8683988802713274, -1.7420869991279346, -2.09850346053906, -1.0973473777324776, 3.0802877461087053, 0.24288335285890827, 0.6061438950502065, 0.12944945456516593, 0.21173481417872703, 0.0026556158583601053, -1.7022846507407532, -3.8540426860123436, 2.450717420696504, 2.1304633677493907, 7.300543368705241]]

---------------------------------------

[[0.5560834372667955, 0.23578736534812614, 0.10095733548230318, 2.082408288892376, 0.7109700185572698, -0.23232942120801625, -0.889006267936918, -0.08173155185724071, -1.0550647309159598, -0.761289035611641, 1.2547627910958699, -1.0176813564659157, -1.2778926318862793, 1.1479785702963585, 1.6985612846197757, 0.5333495813111219, -0.5989803860143361, 0.5397578315763694, -0.8064907637346377, 0.37239904396919293, 0.8967064212665078, -0.5398208126497703, 0.14181312910673216, -0.2515791903326512, -2.2522442201024053, 0.8011733928669512, 1.050679257605233, -0.49436241693464267, 0.4559781809987694, -0.24891604102471132, -0.004244214725162843, -1.3353735781774028],
[2.8659635069790355, -0.7543167211973765, 1.041788192818819, -0.667778917965697, 1.175470421171923, -1.2278779315628565, -0.44483645074651407, 0.7020275109965504, -0.9837543001631197, -0.7296571506999069, 0.34241180449265995, -0.757330143968665, -0.7412882362525649, 1.0634001014868517, -0.8835874858490625, -1.5836756832504821, 1.249401988590222, 1.1660195204480563, 1.9190165994270867, 1.6927220024892835, 0.7413523695440645, 0.2679551531378188, 2.5107832734464144, -1.300274429314014, 2.173113799643887, 0.8067453213309775, 2.0141313950540947, 1.6347705851114285, 1.370036445984728, 2.5594787110044774, 0.024549568030867608, 0.9929570851744954],
[0.974494852543642, 0.8188636911344884, 1.4162608038066524, 0.7264945696435511, 0.15718760753491035, 2.0017981422792044, 0.3403986594295602, 0.12127001303403398, 1.8017040592306468, 0.6030370071915968, -1.0578388587168748, 1.858716536806801, 1.576258194939718, -0.6969765792366769, 1.6052931266526824, -0.38795329473021267, -0.3240705569606454, 0.5352599897700148, -1.8634271665247397, 0.28225134464427976, 1.0738901101195055, -0.23519724901365258, -0.9368783994816865, 1.514981024446558, 0.646675701749833, 0.03724321723853402, -0.6170198726351626, -0.6330034189789054, -0.2414821858379294, -0.1260355266944641, 0.6971965907508582, 1.7058151535332917],
[-1.9050554381082594, 1.068307842365989, 0.43235477100742453, 1.6908478099389557, -0.2509928748089226, -0.6896531158284092, 0.21530793556464714, -0.9928297496101639, -0.409475757360848, -2.710804613942458, 3.1881697227433525, -0.19213292411443675, -1.866352540940777, 0.4772708834793118, -0.39925140187018904, -1.1477245737346193, 0.08735117733947939, -1.7652724929634978, 1.6820058975934968, 1.00801022534047, -1.5905911160848696, 1.05900581907619, -1.7961039710310533, -1.2395960584841899, 1.846481486240245, -1.4906209258060086, 0.4593016097021442, -0.48939116294740354, 0.92884917244008, 0.8576003370216396, 0.016448832822210102, -1.7834825795754732],
[-7.0239956059770545, -5.893486736155142, -0.42459924857380726, -4.7633474053923255, -8.913772207222852, 2.112301917373411, 4.11798448839439, 0.7997690651392206, 5.135197597962459, -3.1929855582025386, 8.682859167974904, 1.9355214184753555, 7.380991964712012, 6.979284543290944, 1.9581615601671825, 1.7272248002899997, 3.291565077793982, -4.681721455372515, -8.635381713247249, -5.674110829860209, 3.0173825572085766, 0.8369474076019865, -3.4933216027422693, -3.7026449828708676, 3.458036514913079, 3.2529756887069516, -3.0583296552537726, -6.892596229471684, 3.6199726544881945, 4.357774207456047, 4.524060305633976, 1.8799164417554945],
